time,open,high,low,close,Volume,Long Entry,Long Exit,KD,J,RSI,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment,URANIUM,USDKRW,US10Y,US02Y,ALUMINUM,LITHUSD,REMX,XAUUSD,BTCUSD,IXIC,FXCM COPPER (FX:COPPER)
2019-12-17,6892.9,6953.7,6541.2,6624,1378436375.8399997,0,0,,,,0.26,3.58,-6.265773430117801,2.05,0,99.3,,1162.65,1.88189995,1.62650001,,,39.93,1476.186,6612.3,8823.36,2.809
2019-12-18,6623.8,7498.2,6415.7,7285,4728296036.100002,0,0,,,,0.29,3.51,-6.264844834848903,2.05,0,99.3,,1166.07,1.91859996,1.63279998,,,39.51,1475.47,7286.91,8827.73,2.8093
2019-12-19,7286.8,7390.8,7040,7142.9,4706481087.849996,0,1,,,,0.3,3.54,-6.263726732053234,2.05,0,99.3,,1161.77,1.92219996,1.63090003,,,39.57,1478.907,7149.57,8887.22,2.8235
2019-12-20,7148.2,7238.1,7011.6,7180.2,4363374664.829996,0,1,,,,0.29,3.53,-6.268645308363189,2.05,0,99.3,,1158.49,1.9188,1.63150001,,,39.24,1478.088,7194.11,8924.96,2.8005
2019-12-21,7180.2,7204.4,7086.3,7134.9,3109529671.579996,0,0,,,,0.29,3.53,-6.268645308363189,2.05,0,99.3,,1158.49,1.9188,1.63150001,,,39.24,1478.088,7147.4,8924.96,2.8005
2019-12-22,7132.3,7536.8,7127.5,7495.7,4721695601.410002,0,1,,,,0.29,3.53,-6.268645308363189,2.05,0,99.3,,1158.49,1.9188,1.63150001,,,39.24,1478.088,7509.7,8924.96,2.8005
2019-12-23,7495.7,7716.9,7202.9,7320.1,10324362943.769981,0,0,,,,0.29,3.52,-6.273008001892661,2.06,0,99.3,,1162.54,1.93120003,1.65639997,,,38.25,1485.525,7316.17,8945.65,2.8075
2019-12-24,7318.8,7458,7131.6,7255.2,9445976242.169973,0,0,,,,0.28,3.53,-6.277022348978682,2.06,0,99.3,,1162.02,1.90310001,1.62899995,,,39.27,1499.402,7251.52,8952.88,2.8233
2019-12-25,7254.1,7262.3,7121.7,7199.9,23334796.61713004,0,0,,,,0.28,3.53,-6.277022348978682,2.06,0,99.3,,1159.26,1.90310001,1.62899995,,,39.27,1499.402,7195.79,8952.88,2.8233
2019-12-26,7199.9,7433.7,7157.6,7207,41413566.54285748,0,0,,,,0.26,3.53,-6.275806544379342,2.06,0,99.3,,1160.8,1.89619994,1.63689995,,,39.48,1511.092,7188.3,9022.39,2.8493
2019-12-27,7203.2,7266,7087,7248.8,64856316.34573752,0,0,,,,0.29,3.56,-6.285114814338228,2.06,0,99.3,,1158.45,1.87870002,1.58519995,,,40.17,1511.131,7246,9006.62,2.824
2019-12-28,7248.9,7359,7237.6,7313,75349796.96448497,0,1,,,,0.29,3.56,-6.285114814338228,2.06,0,99.3,,1158.45,1.87870002,1.58519995,,,40.17,1511.131,7296.24,9006.62,2.824
2019-12-29,7312.3,7549.6,7289.1,7391.3,67303930.28047742,0,1,49.058441361522924,46.4602578633465,,0.29,3.56,-6.285114814338228,2.06,0,99.3,,1158.45,1.87870002,1.58519995,,,40.17,1511.131,7385.54,9006.62,2.824
2019-12-30,7389.9,7404.2,7220,7243.9,30977403.03257499,0,0,43.63409824103698,28.77414869073388,,0.32,3.6,-6.284031440151597,1.76,0,99.3,,1156.47,1.88049996,1.57120001,,,40.5,1515.07,7220.24,8945.99,2.8165
2019-12-31,7243.9,7317.9,7140,7194.7,14609329.47268999,0,0,37.406955765440216,14.40912480129677,59.565352535875206,0.34,3.6,-6.299955596401635,1.76,0,99.3,,1153.57,1.91919994,1.57099998,,,40.29,1517.111,7168.36,8972.6,2.7972
2020-01-01,7192.9,7255,7176.7,7202,11989306.54998252,0,0,34.10756709392466,14.36017993306406,59.851048376534436,0.34,3.6,-6.299955596401635,1.76,0,99.8,,1153.52,1.91919994,1.57099998,,,40.29,1517.111,7178.68,8972.6,2.7972
2020-01-02,7202,7202.9,6912.2,6965.3,26341686.63354499,0,0,27.94054770149681,2.6493056399968964,43.74106981688361,0.3,3.56,-6.293272048012807,1.76,0,99.8,,1156.85,1.87890005,1.57099998,,,41.34,1529.108,6950.56,9092.19,2.821
2020-01-03,6965.4,7410.4,6863.6,7340,54814726.60380751,0,0,36.60196819756233,45.60989840697617,58.80015725802156,0.27,3.61,-6.32259165099494,1.76,0,99.8,,1164.45,1.78980005,1.53059995,,,41.25,1552.394,7338.91,9020.77,2.78
2020-01-04,7340.1,7398,7275.9,7351.7,18322231.26403246,0,0,44.47984115798927,68.67848866376355,59.215702549274226,0.27,3.61,-6.32259165099494,1.76,0,99.8,,1164.45,1.78980005,1.53059995,,,41.25,1552.394,7344.48,9020.77,2.78
2020-01-05,7351.8,7496.2,7306.9,7359.4,29324650.08597503,0,0,51.19408028481642,80.07900185477142,59.507292845501865,0.27,3.61,-6.32259165099494,1.76,0,99.8,,1164.45,1.78980005,1.53059995,,,41.25,1552.394,7356.7,9020.77,2.78
2020-01-06,7359.4,7798.1,7347.9,7756.3,40903795.29277998,0,1,61.6877317667857,102.36432125668642,72.6268676365089,0.27,3.57,-6.332024679048862,1.32,0,99.8,,1166.44,1.81079996,1.54659998,,,41.64,1565.916,7762.74,9071.46,2.7815
2020-01-07,7756.4,8203.7,7727.1,8145,78035484.28515238,0,1,70.13210000081003,111.58131533082117,82.04070128289428,0.29,3.54,-6.334270718103517,1.32,0,99.8,,1166.8,1.82120001,1.54439998,,,41.64,1574.282,8159.01,9068.58,2.7933
2020-01-08,8144.9,8473,7870.8,8053,126186291.24707,0,0,71.89124212056595,97.01370508496134,75.93716091378187,0.29,3.5,-6.318673323205794,1.32,0,99.8,,1161.75,1.87549996,1.58459997,,,41.46,1556.43,8044.44,9129.24,2.8065
2020-01-09,8053,8053,7752,7817.7,78670278.23587504,0,0,69.64767918070581,76.60000331325315,61.40733689060539,0.27,3.49,-6.318447114574037,1.32,0,99.8,,1158.22,1.85800004,1.58249998,,,41.97,1552.426,7806.78,9203.43,2.7935
2020-01-10,7815.3,8201.3,7669,8200.8,98112735.23011743,0,0,72.78866093684186,84.11727739345568,71.60188937097368,0.27,3.48,-6.318075940862007,1.32,0,99.8,,1157.47,1.82309997,1.57219994,,,42.09,1562.212,8200,9178.86,2.81
2020-01-11,8200.8,8288,8006.1,8023.7,75506140.39129989,0,0,72.88354193055574,78.78505264314737,61.8463830618083,0.27,3.48,-6.318075940862007,1.32,0,99.8,,1157.47,1.82309997,1.57219994,,,42.09,1562.212,8016.22,9178.86,2.81
2020-01-12,8023.6,8195,7956.5,8180,44440611.00015254,0,0,73.6014958381168,78.34713596331531,66.0347974756676,0.27,3.48,-6.318075940862007,1.32,0,99.8,,1157.47,1.82309997,1.57219994,,,42.09,1562.212,8180.76,9178.86,2.81
2020-01-13,8179.9,8187.8,8056.4,8106,221809078.42621988,0,0,72.57941555115292,72.39703489634246,61.90176545429506,0.27,3.48,-6.295226017716885,1.61,0,99.8,,1153.45,1.84759998,1.58829999,,,43.14,1548.03,8105.01,9273.93,2.8541
2020-01-14,8106.5,8895.6,8106.4,8828.1,1288601842.3297448,0,1,77.6996457849099,90.40903104189712,78.38219701292644,0.24,3.45,-6.286989457169504,1.61,0,99.8,,1156.7,1.81260002,1.57200003,,,44.22,1546.423,8813.04,9251.33,2.8655
2020-01-15,8825.8,8919.9,8572.7,8817.7,1705119911.6144812,0,1,81.12212916833212,96.03303025538128,77.82730552117903,0.23,3.44,-6.295670201521612,1.61,0,99.8,,1157.41,1.78470004,1.55569994,,,43.02,1556.248,8809.17,9258.7,2.861
2020-01-16,8816.5,8854.7,8598.9,8723.6,795856896.7601821,0,0,82.16129798728245,92.21467057818288,72.6300014902634,0.23,3.42,-6.300066930244603,1.61,0,99.8,,1159.23,1.80910003,1.56780005,,,42.24,1552.474,8710.15,9357.13,2.85
2020-01-17,8723.7,9041,8680,8916.6,987349133.1860396,0,1,84.33396107133169,94.792305076905,76.76409655818964,0.26,3.39,-6.306894590386095,1.61,0,99.8,,1159.94,1.82319999,1.56130004,,,42.585,1557.304,8892.63,9388.94,2.8442
2020-01-18,8916.5,8990.7,8823,8921.6,570239050.8307302,0,1,86.11379427633617,95.792549291634,76.87090986929684,0.26,3.39,-6.306894590386095,1.61,0,99.8,,1159.94,1.82319999,1.56130004,,,42.585,1557.304,8908.53,9388.94,2.8442
2020-01-19,8921.6,9193.5,8450,8700,662565802.6748996,0,0,80.5491663190137,71.47697393335645,64.03508781891344,0.26,3.39,-6.306894590386095,1.61,0,99.8,,1159.94,1.82319999,1.56130004,,,42.585,1557.304,8696.6,9388.94,2.8442
2020-01-20,8697.5,8743,8531.1,8645,129600168.84014983,0,0,74.81638109764916,55.94832185140919,60.97555052288834,0.26,3.38,-6.306894590386095,1.68,0,99.8,,1158.11,1.82319999,1.56130004,,,42.585,1560.897,8625.17,9388.94,2.8446
2020-01-21,8645,8789,8485,8729.8,205534120.12313744,0,0,70.93141173835761,51.78495871700878,63.49613904355263,0.25,3.47,-6.323798749601317,1.68,0,99.8,,1168.51,1.77600002,1.53250003,,,41.34,1558.168,8717.89,9370.81,2.7902
2020-01-22,8730.9,8812.3,8590,8686.4,191309264.27002767,0,0,66.59961182038637,46.19688551478387,60.86228287260826,0.24,3.49,-6.333282840067506,1.68,0,99.8,,1164.26,1.77079999,1.53030002,,,41.79,1558.965,8655.93,9383.77,2.7671
2020-01-23,8685.9,8689.9,8315.3,8408.8,326159109.6140001,0,0,53.712254720049486,11.292498816406024,45.20523181135617,0.23,3.58,-6.353061328096397,1.68,0,99.8,,1168.04,1.7342,1.5158,,,40.89,1562.813,8378.44,9402.48,2.733
2020-01-24,8408.8,8520,8240,8445.2,246204413.85369217,0,0,45.61591757596523,4.165196763932869,46.61405003793348,0.21,3.68,-6.372732138624757,1.68,0,99.8,,1168.7,1.68570006,1.49670005,,,40.32,1571.724,8422.13,9314.91,2.6822
2020-01-25,8442.5,8449.7,8282,8340.6,146101601.16120258,0,0,36.90249832802254,-5.60641019785038,40.911395560293926,0.21,3.68,-6.372732138624757,1.68,0,99.8,,1168.7,1.68570006,1.49670005,,,40.32,1571.724,8329.5,9314.91,2.6822
2020-01-26,8341.7,8615.6,8295,8614.9,174658855.39244244,0,0,36.494700953737976,14.220753255090074,51.72188474490055,0.21,3.68,-6.372732138624757,1.68,0,99.8,,1168.7,1.68570006,1.49670005,,,40.32,1571.724,8590.48,9314.91,2.6822
2020-01-27,8616.7,9008,8572.9,8910.3,306271663.68283975,0,1,43.51176830269671,49.917462825769604,61.379042603431,0.17,4.03,-6.4093688166616545,2.02,0,99.8,,1176.2,1.60969996,1.44500005,,,38.94,1581.937,8894.54,9139.31,2.5948
2020-01-28,8910.3,9432.3,8906.3,9385,397524742.4762598,0,1,55.325474698492094,88.06258794951698,73.45213688934368,0.2,3.86,-6.411107919990146,2.02,0,99.8,,1175.21,1.65799999,1.46650004,,,38.46,1567.322,9400,9269.68,2.5865
2020-01-29,9383.6,9476,9250,9308.7,312426359.0892528,0,0,62.97272756984962,98.45941637375586,69.21248693357762,0.18,3.83,-6.421424885351904,2.02,0,99.8,,1178.18,1.58560002,1.41670001,,,38.94,1576.896,9289.18,9275.16,2.5598
2020-01-30,9308.6,9588,9216,9520,302627207.87080246,0,1,70.86860110869058,108.35162935774609,74.13641212798291,0.16,3.95,-6.445141079261477,2.02,0,99.8,,1187.12,1.58729994,1.41670001,,,37.89,1574.296,9500,9298.93,2.5475
2020-01-31,9520,9535.2,9220.2,9356,224737562.62522513,0,0,74.35060538060911,101.7971301849332,64.9963700394932,0.18,4.03,-6.447099951378873,2.02,0,99.8,,1194.47,1.50510001,1.31719995,,,37.05,1589.975,9327.85,9150.94,2.5135
2020-02-01,9356,9465.3,9305,9385.9,140647333.47195,0,0,77.32870882448675,98.49722983634288,65.79574460463778,0.18,4.03,-6.447099951378873,2.02,0,101,,1194.47,1.50510001,1.31719995,,,37.05,1589.975,9377.17,9150.94,2.5135
2020-02-02,9385.9,9476.3,9165,9342.4,196562605.7544175,0,0,78.6581822155653,92.56612619918977,63.228816887406595,0.18,4.03,-6.447099951378873,2.02,0,101,,1194.47,1.50510001,1.31719995,,,37.05,1589.975,9329.39,9150.94,2.5135
